2026-04-10 10:49:06,515 | INFO | mcp.server.streamable_http | - | Terminating session: 8ee8336a27e149cbaaae552de8375c3d
2026-04-10 10:49:31,983 | INFO | mcp.server.streamable_http_manager | - | Created new transport with session ID: 6f86a29c9fbc412ab9def8c322793f51
2026-04-10 10:49:32,105 | INFO | mcp.server.lowlevel.server | - | Processing request of type CallToolRequest
2026-04-10 10:49:32,171 | INFO | mcp.server.lowlevel.server | - | Processing request of type ListToolsRequest
2026-04-10 10:49:32,237 | INFO | mcp.server.streamable_http | - | Terminating session: 6f86a29c9fbc412ab9def8c322793f51
2026-04-10 10:50:13,061 | INFO | mcp.server.streamable_http_manager | - | Created new transport with session ID: 13dc5207874a41bf94b8e7c21131a2c8
2026-04-10 10:50:13,185 | INFO | mcp.server.lowlevel.server | - | Processing request of type CallToolRequest
2026-04-10 10:50:13,367 | INFO | mcp.server.lowlevel.server | - | Processing request of type ListToolsRequest
2026-04-10 10:50:13,430 | INFO | mcp.server.streamable_http | - | Terminating session: 13dc5207874a41bf94b8e7c21131a2c8
2026-04-10 10:50:15,683 | INFO | mcp.server.streamable_http_manager | - | Created new transport with session ID: 9380a6ac80ef481788d221750df0b17a
2026-04-10 10:50:15,816 | INFO | mcp.server.lowlevel.server | - | Processing request of type CallToolRequest
2026-04-10 10:50:15,890 | INFO | mcp.server.lowlevel.server | - | Processing request of type ListToolsRequest
2026-04-10 10:50:15,956 | INFO | mcp.server.streamable_http | - | Terminating session: 9380a6ac80ef481788d221750df0b17a
